"","Tier","Yellow","Green"
"1071",1,0,2
"1072",2,2,1
"1073",3,2,0
"1074",4,1,1
"1075",5,0,0
"1076",6,1,1
"1077",7,1,0
"1078",8,4,0
"1079",9,0,0
"1080",10,3,1
"1081",1,1,2
"1082",2,0,0
"1083",3,1,0
"1084",4,2,1
"1085",5,2,1
"1086",6,2,1
"1087",7,2,0
"1088",8,2,0
"1089",9,0,0
"1090",10,1,2
"1091",1,0,2
"1092",2,0,1
"1093",3,1,1
"1094",4,3,0
"1095",5,2,1
"1096",6,3,1
"1097",7,1,0
"1098",8,0,0
"1099",9,0,0
"1100",10,0,0
"1101",1,0,2
"1102",2,0,0
"1103",3,2,0
"1104",4,0,1
"1105",5,3,0
"1106",6,1,1
"1107",7,1,0
"1108",8,0,0
"1109",9,1,0
"1110",10,2,0
"1111",1,0,1
"1112",2,2,1
"1113",3,0,1
"1114",4,3,1
"1115",5,0,0
"1116",6,0,1
"1117",7,3,0
"1118",8,2,0
"1119",9,2,1
"1120",10,1,0
"1121",1,0,1
"1122",2,1,0
"1123",3,1,1
"1124",4,4,0
"1125",5,1,0
"1126",6,2,1
"1127",7,2,0
"1128",8,0,0
"1129",9,2,1
"1130",10,1,0
"1131",1,1,0
"1132",2,2,0
"1133",3,1,0
"1134",4,0,0
"1135",5,1,1
"1136",6,3,0
"1137",7,1,0
"1138",8,0,0
"1139",9,2,0
"1140",10,1,0
"1141",1,2,0
"1142",2,0,1
"1143",3,3,0
"1144",4,1,1
"1145",5,3,0
"1146",6,0,2
"1147",7,1,0
"1148",8,2,0
"1149",9,1,2
"1150",10,1,1
"1151",1,0,2
"1152",2,1,0
"1153",3,2,0
"1154",4,0,3
"1155",5,2,1
"1156",6,1,0
"1157",7,1,1
"1158",8,1,0
"1159",9,1,1
"1160",10,2,0
"1161",1,1,0
"1162",2,1,0
"1163",3,0,1
"1164",4,2,0
"1165",5,1,1
"1166",6,0,3
"1167",7,1,1
"1168",8,1,0
"1169",9,2,0
"1170",10,0,1
"1171",1,1,0
"1172",2,0,0
"1173",3,1,2
"1174",4,2,0
"1175",5,2,0
"1176",6,2,0
"1177",7,1,0
"1178",8,2,1
"1179",9,1,0
"1180",10,2,0
"1181",1,3,0
"1182",2,1,0
"1183",3,1,1
"1184",4,0,1
"1185",5,1,0
"1186",6,0,2
"1187",7,1,0
"1188",8,1,1
"1189",9,2,1
"1190",10,0,1
"1191",1,0,0
"1192",2,4,0
"1193",3,0,0
"1194",4,3,0
"1195",5,1,1
"1196",6,1,1
"1197",7,1,0
"1198",8,3,0
"1199",9,1,1
"1200",10,0,3
"1201",1,1,0
"1202",2,2,1
"1203",3,0,1
"1204",4,0,0
"1205",5,2,1
"1206",6,0,4
"1207",7,1,1
"1208",8,3,0
"1209",9,0,0
"1210",10,0,1
"1211",1,1,0
"1212",2,1,0
"1213",3,0,1
"1214",4,2,0
"1215",5,1,0
"1216",6,0,0
"1217",7,1,1
"1218",8,3,0
"1219",9,2,0
"1220",10,2,0
"1221",1,0,1
"1222",2,1,0
"1223",3,1,0
"1224",4,2,0
"1225",5,1,0
"1226",6,0,1
"1227",7,0,2
"1228",8,0,0
"1229",9,3,0
"1230",10,0,0
"1231",1,2,1
"1232",2,0,1
"1233",3,0,0
"1234",4,1,0
"1235",5,2,0
"1236",6,2,1
"1237",7,2,1
"1238",8,0,0
"1239",9,2,0
"1240",10,3,0
"1241",1,1,0
"1242",2,2,0
"1243",3,2,0
"1244",4,0,1
"1245",5,2,0
"1246",6,2,0
"1247",7,3,0
"1248",8,2,0
"1249",9,0,1
"1250",10,1,0
"1251",1,2,0
"1252",2,1,1
"1253",3,2,0
"1254",4,1,0
"1255",5,1,0
"1256",6,1,0
"1257",7,0,2
"1258",8,0,1
"1259",9,0,1
"1260",10,1,1
"1261",1,1,1
"1262",2,1,0
"1263",3,0,2
"1264",4,2,0
"1265",5,3,0
"1266",6,1,1
"1267",7,3,0
"1268",8,2,0
"1269",9,0,1
"1270",10,0,1
"1271",1,2,0
"1272",2,0,0
"1273",3,2,1
"1274",4,0,1
"1275",5,1,0
"1276",6,2,1
"1277",7,0,3
"1278",8,2,0
"1279",9,2,0
"1280",10,0,0
"1281",1,2,0
"1282",2,0,1
"1283",3,3,0
"1284",4,0,2
"1285",5,1,1
"1286",6,0,1
"1287",7,1,2
"1288",8,0,2
"1289",9,2,0
"1290",10,1,2
"1291",1,1,1
"1292",2,2,0
"1293",3,0,1
"1294",4,0,1
"1295",5,2,0
"1296",6,1,1
"1297",7,1,1
"1298",8,0,1
"1299",9,2,0
"1300",10,1,0
"1301",1,0,0
"1302",2,0,1
"1303",3,0,1
"1304",4,3,0
